id,table_id,bezeichnung,bezeichnung_kurz,beschreibung,zweck,zielpublikum,software,typ_lnk,web_app,gis_app,virtuell,erstellungsdatum,version,versionsdatum,prioritaet,aktiv,fachapplikation,anzahl_nutzer,application_server,path_to_application,url_to_application,path_to_doc,id_persons_verantwortung,id_persons_hersteller,id_persons_support,id_persons_wartung
1,2,"Bauzonenstatistik - Web-Client","Bauzonenstatistik - Web-Client","- Mit der Applikation ""Bauzonenstatistik"" können die Gemeinde in Eigenregie ihre Bauzonen via Internet selber erfassen/digitalisieren.
- Die Applikation greift direkt auf den GIS-Server 'vgdagi04' der GIS-Fachstelle zu und ermöglicht das Erstellen und Ändern",,"- Gemeinden BL
- ARP und andere DSTs","- Django (Python Framework)
- GeoDjango: GIS-Extension in Python
- ExtJS
- GeoExt: ExtJS-Extension",2,1,1,0,19.10.2012 00:00:00,"1.0",,1,1,1,100,"?","http://bauzonenstatistik.bl.ch/",,,4,12,10,12
2,2,"Bibliothek NL, Admin-GUI","Bibliothek NL, Admin-GUI","- Admin-Oberfläche der ""Bibliothek NL""-Applikation
- ODBC-Verbindung zum 'BUDPROD10' (Oracle-DB)",,"ARP","- MS Access-2002",2,0,0,0,,,,2,1,1,10,,"P:\ARP\82 Grundlagedaten\822 NL_DATA\Bibliothek\Bibliothek_NL_Access2000_Oracle.mdb",,"http://budweb04.bl.ch/arp/gi/dokuwiki/doku.php?id=gi:bibliothek_arp_nl",1,,10,1
3,2,"Bibliothek NL, Web-Client","Bibliothek NL, Web-Client","Web-Interface für die Suche von Büchern und Publikationen in der Bibliothek der Abteilung Natur und Landschaft.",,"ARP","- PHP 5.x",2,1,0,0,,,,2,1,0,10,"budweb04",,"http://budweb04.bl.ch/bibliotheken/bibliothek_nl/","http://budweb04.bl.ch/arp/gi/dokuwiki/doku.php?id=gi:bibliothek_arp_nl",1,,1,1
4,2,"Bildserver-Web-Client","Bildserver-Web-Client",,,"ARP","- PHP 5.x
- PHP-Library: ADOdb (http://adodb.sourceforge.net/)
- JavaScript",2,1,0,0,,,,2,1,0,50,"budweb04",,"http://budweb04.bl.ch/Bildarchiv/html/BS_Start.html","http://budweb04.bl.ch/arp/gi/dokuwiki/doku.php?id=gi:bud_bildserver",1,,10,1
5,2,"CadnaA","CadnaA","- Lärmmess-Software",,"ARP","- CadnaA (http://www.datakustik.com/produkte/cadnaa/)",1,0,0,0,,,,1,1,1,5,,,,,6,,4,26
6,2,"dbread","dbread","- PHP-Applikation zur Abfrage von DBs verschiedener Typen. Die DB-Definitionen und die SQL-Queries werden in Paramater-Files abgelegt.
- Die Applikation ist auf einfache Weise Passwort geschützt.",,"ARP","- PHP 5.x
- PHP-Library: ADOdb (http://adodb.sourceforge.net/)",2,1,0,0,,,,1,1,1,10,"budweb04","http://budweb04.bl.ch/dbread/",,,1,,1,1
7,2,"DenkInf","DenkInf","- Inventar der geschützten und schützenswerten Objekte des Kantons.",,"ARP",,,0,1,0,,,,1,0,1,8,,,,,3,,2,
8,2,"Diasammlung ""Brodmann"" - Web-Client","Diasammlung ""Brodmann""-Client",,,"- ARP
- Intranet-BL-Nutzer","- PHP 5.x
- PHP-Library: ADOdb (http://adodb.sourceforge.net/)",2,1,0,0,,,,3,1,0,10,"budweb04","http://budweb04.bl.ch/diasammlung/brodmann/",,"http://budweb04.bl.ch/arp/gi/dokuwiki/doku.php?id=gi:diasammlung_brodmann",1,,1,1
9,2,"Diasammlung ""Buser"" - Web-Client","Diasammlung ""Buser""-Client",,,"- ARP
- Intranet-BL-Nutzer","- PHP 5.x
- PHP-Library: ADOdb (http://adodb.sourceforge.net/)",2,1,0,0,,,,3,1,0,10,"budweb04","http://budweb04.bl.ch/diasammlung/buser/",,"http://budweb04.bl.ch/arp/gi/dokuwiki/doku.php?id=gi:diasammlung_buser&s[]=diasammlung",1,,1,1
11,2,"Dokumenten-Management-System-RI ""MyDMS""","DMS RI","Kleines Dokumenten-Management-System der Abt. Rauminformation.","Dokumente der Abteilungen RI und NL zu verwalten.","ARP","- LetoDMS (http://www.letodms.com/; früher 'MyDMS')
- PHP 5.x",2,1,0,0,,,,2,1,1,10,"budweb04","http://budweb04.bl.ch/mydms/",,,1,,1,24
